timestamp,umidade,temperatura,ph,fosforo,potassio,bomba_dagua
2025-06-19 00:28:16.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:28:25.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:28:35.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:28:44.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:28:54.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:29:03.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:29:13.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:29:22.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:29:32.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:29:41.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:29:51.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:00.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:10.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:20.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:29.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:39.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:48.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:30:58.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:31:08.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:31:18.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:31:28.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:31:38.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:31:47.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:31:57.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:32:10.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:32:34.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:32:47.000000,40.00,24.00,3.00,False,True,False
2025-06-19 00:32:59.000000,40.00,24.00,3.00,False,True,False
2025-06-19 00:33:12.000000,40.00,24.00,3.00,False,True,False
2025-06-19 00:33:21.000000,40.00,24.00,3.00,True,False,False
2025-06-19 00:33:31.000000,40.00,24.00,3.00,False,True,False
2025-06-19 00:33:40.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:33:50.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:33:59.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:34:09.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:34:18.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:34:28.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:34:37.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:34:47.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:34:56.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:35:06.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:35:15.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:35:25.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:35:34.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:35:44.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:35:53.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:36:03.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:36:12.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:36:22.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:36:32.000000,40.00,24.00,3.00,False,False,False
2025-06-19 00:36:41.000000,40.00,24.00,3.00,False,False,False
2025-06-19 12:31:27.000000,40.00,24.00,3.00,False,False,False
2025-06-19 12:31:42.000000,40.00,24.00,3.00,False,False,False
2025-06-19 12:31:56.000000,40.00,24.00,3.00,False,False,False
2025-06-19 12:32:11.000000,40.00,24.00,8.00,False,False,False
2025-06-19 12:32:26.000000,20.00,16.20,8.00,False,False,True
2025-06-19 12:32:41.000000,20.00,16.20,8.00,False,False,True
2025-06-19 12:32:56.000000,20.00,16.20,8.00,False,False,True
2025-06-19 12:33:10.000000,20.00,16.20,8.00,False,False,True
2025-06-19 12:33:25.000000,20.00,16.20,8.00,False,False,True
2025-06-19 12:33:40.000000,20.00,32.40,8.00,False,False,True
2025-06-19 12:33:55.000000,20.00,32.40,8.00,False,False,True
